component_id,component_name,variant_type,parent_id,manifest_hash,file_count,total_size_bytes,ground_truth_label,affected_sectors,affected_jurisdictions,distribution_scope,severity,expected_sba_recipients
comp_001,agent-memory-store,baseline,,dd6a60da439db0d0e20d318b33ccf762e3cb13ab7379e4f34cf53ca697b4abe8,5,591,known_good,,,,,
comp_002,agent-tool-runner,baseline,,522596f12add775495b63ca59bfb1e7d3f3786d56d07ba08e4e6867d7feceae4,6,682,known_good,,,,,
comp_003,agent-llm-bridge,baseline,,6d57da0147fcf526791961de828f24406e2a4d8c5c924b7fd7b69d1694be935e,7,784,known_good,,,,,
comp_004,agent-file-reader,baseline,,96403b9522b4a5b252a90b27c9257455780bf53218fae25717acb657effbd4a9,4,492,known_good,,,,,
comp_005,agent-file-writer,baseline,,b63330f9c03a13e37a837bd9f5403e6d7f0465afecfd4c927eba903ec7db3d6d,5,561,known_good,,,,,
comp_006,agent-scheduler,baseline,,6e5fc38f8ab9d57abf47701b81d20cd540f0ae36a65c00d455a9d30e9988fab7,6,689,known_good,,,,,
comp_007,agent-prompt-builder,baseline,,af7cc9bc75f977d0c79d3b8641a92afe0d0444853c177b6803e2df4518e4a3c1,7,831,known_good,,,,,
comp_008,agent-token-counter,baseline,,a79a4383dd6b5b6dce9c0abb9012d843b493712e9b67d82cfd872aa03fdf5b9d,4,529,known_good,,,,,
comp_009,agent-rate-limiter,baseline,,365f8b45408da8ed5f5b3985a5b37cd0308d55e9a2d023c15d8429c0e9caa058,5,570,known_good,,,,,
comp_010,agent-retry-policy,baseline,,837c6d39d9a5b91c856a7d7aa1af9ece47cb03a2d319c5d28d8bddd41040be99,6,701,known_good,,,,,
comp_011,agent-context-window,baseline,,408e4e01c15d59d0d59a862627f4f92c7285be4043609d99877414b52fa744c5,7,825,known_good,,,,,
comp_012,agent-embedding-cache,baseline,,e257a6b348b0c2180c70cc5edf0e2b238c2976a42b1206fafd5799bd99c8c2c3,4,515,known_good,,,,,
comp_013,agent-vector-search,baseline,,a23076e3ad4cd61cc9cbcd4a652377d77011981a37ab75ec1176c62f45e39375,5,567,known_good,,,,,
comp_014,agent-session-manager,baseline,,65efd10285315a97557088ea6654dd5499c8fa1d7ba43ab3afc28911e840b45b,6,719,known_good,,,,,
comp_015,agent-event-logger,baseline,,94965a93d1e2fa16c105bcb06be69041b73d12c5b9daa254c36dd59c22694d3e,7,800,known_good,,,,,
comp_016,agent-config-loader,baseline,,27f9064f170a2c38af4922b55259440c0de789aad71ec7c390a5f24d3ca614f5,4,502,known_good,,,,,
comp_017,agent-secret-vault,baseline,,b1cc7d6e38d012d0bc341e61fedd1050fcb6a84bea16a9625b8097f17c16310c,5,549,known_good,,,,,
comp_018,agent-http-client,baseline,,abf40467ab06e93739da5936d286a4430dd1861b7760958648b392fdfb793f39,6,682,known_good,,,,,
comp_019,agent-websocket-client,baseline,,45a7b7f05c005762dc9115351d99ce5bfdfdc026f3ca23150a4ca2eae2714938,7,844,known_good,,,,,
comp_020,agent-stream-parser,baseline,,50fbf3e51a136fbf00931328126d2d8ce0dd14a0d07f1a7ee0c85bb3ac592782,4,502,known_good,,,,,
comp_021,agent-markdown-renderer,baseline,,56894efad444b4ce02291cc55ebd933f496b79ed5d35d77b0e217d0e59a95307,5,627,known_good,,,,,
comp_022,agent-code-executor,baseline,,bcd8a3dd6f32be49e0cbfca9550c6b6bd86540fed8667cd9229c10b5e09f2126,6,690,known_good,,,,,
comp_023,agent-shell-wrapper,baseline,,37d6c665afeae0a8ad0f2774aa30e2f8d0c106286d134645bc7d3b265b617510,7,802,known_good,,,,,
comp_024,agent-clipboard-bridge,baseline,,e33febc7dc8af2c670854650bd9d72b5b1dfcf32207e2670f499b35e07cd4409,4,532,known_good,,,,,
comp_025,agent-screenshot-capture,baseline,,f0355b10a5d12b2b3513c356bf00008b3062bb48a60497c10b04bc27fa72b22c,5,612,known_good,,,,,
comp_026,agent-notification-sender,baseline,,a7add8a23390b4ff9b08053bdfba84f88a2e5c6796c5b37e7b54d88c2553a6c2,6,741,known_good,,,,,
